train test method run dataset classifier noPoints
0.970772442588727 0.985294117647059 peakPN 13 breast-cancer-wisconsin svmLinear 53
0.983298538622129 0.950980392156863 peakPN 22 breast-cancer-wisconsin svmLinear 51
0.979123173277662 0.96078431372549 peakPN 15 breast-cancer-wisconsin svmLinear 52
0.974947807933194 0.975490196078431 peakStatus 28 breast-cancer-wisconsin svmLinear 13
0.989561586638831 0.941176470588235 peakPN 16 breast-cancer-wisconsin svmLinear 49
0.977035490605428 0.965686274509804 peakPN 12 breast-cancer-wisconsin svmLinear 54
0.974947807933194 0.965686274509804 peakPN 24 breast-cancer-wisconsin svmLinear 43
0.977035490605428 0.96078431372549 peakPN 4 breast-cancer-wisconsin svmLinear 46
0.974947807933194 0.965686274509804 peakPN 6 breast-cancer-wisconsin svmLinear 47
0.983298538622129 0.946078431372549 peakPN 27 breast-cancer-wisconsin svmLinear 51
0.974947807933194 0.965686274509804 peakPN 19 breast-cancer-wisconsin svmLinear 57
0.974947807933194 0.96078431372549 peakPN 29 breast-cancer-wisconsin svmLinear 47
0.977035490605428 0.965686274509804 peakPN 25 breast-cancer-wisconsin svmLinear 58
0.983298538622129 0.96078431372549 peakPN 17 breast-cancer-wisconsin svmLinear 46
0.974947807933194 0.975490196078431 peakPN 9 breast-cancer-wisconsin svmLinear 48
0.97286012526096 0.955882352941177 peakPN 3 breast-cancer-wisconsin svmLinear 51
0.97286012526096 0.970588235294118 peakPN 18 breast-cancer-wisconsin svmLinear 51
0.97286012526096 0.970588235294118 peakPN 21 breast-cancer-wisconsin svmLinear 55
0.979123173277662 0.955882352941177 peakPN 10 breast-cancer-wisconsin svmLinear 55
0.983298538622129 0.955882352941177 peakPN 30 breast-cancer-wisconsin svmLinear 52
0.974947807933194 0.970588235294118 peakPN 20 breast-cancer-wisconsin svmLinear 58
0.983298538622129 0.950980392156863 peakPN 2 breast-cancer-wisconsin svmLinear 55
0.981210855949896 0.975490196078431 peakPN 26 breast-cancer-wisconsin svmLinear 57
0.966597077244259 0.985294117647059 peakPN 11 breast-cancer-wisconsin svmLinear 47
0.981210855949896 0.970588235294118 peakPN 28 breast-cancer-wisconsin svmLinear 49
0.878661087866109 0.876288659793814 peakDegree 1 ecoli svmLinear 15
0.878661087866109 0.876288659793814 peakClustCoef 1 ecoli svmLinear 15
0.811715481171548 0.835051546391753 peakPageRank 1 ecoli svmLinear 3
0.870292887029289 0.88659793814433 peakDegree 8 ecoli svmLinear 11
0.870292887029289 0.88659793814433 peakClustCoef 8 ecoli svmLinear 11
0.857740585774059 0.865979381443299 peakStatus 1 ecoli svmLinear 9
0.849372384937239 0.77319587628866 peakDegree 29 ecoli svmLinear 8
0.807531380753138 0.804123711340206 peakPageRank 8 ecoli svmLinear 4
0.891213389121339 0.865979381443299 peakPN 1 ecoli svmLinear 33
0.849372384937239 0.77319587628866 peakClustCoef 29 ecoli svmLinear 8
0.870292887029289 0.855670103092783 peakDegree 5 ecoli svmLinear 12
0.895397489539749 0.865979381443299 peakDegree 6 ecoli svmLinear 16
0.845188284518828 0.804123711340206 peakPageRank 29 ecoli svmLinear 6
0.895397489539749 0.865979381443299 peakClustCoef 6 ecoli svmLinear 16
0.870292887029289 0.855670103092783 peakClustCoef 5 ecoli svmLinear 12
0.866108786610879 0.88659793814433 peakStatus 8 ecoli svmLinear 12
0.815899581589958 0.824742268041237 peakPageRank 6 ecoli svmLinear 4
0.828451882845188 0.752577319587629 peakPageRank 5 ecoli svmLinear 4
0.874476987447699 0.824742268041237 peakDegree 19 ecoli svmLinear 12
0.887029288702929 0.896907216494845 peakPN 8 ecoli svmLinear 37
0.857740585774059 0.865979381443299 peakDegree 16 ecoli svmLinear 10
0.874476987447699 0.762886597938144 peakStatus 29 ecoli svmLinear 10
0.874476987447699 0.824742268041237 peakClustCoef 19 ecoli svmLinear 12
0.857740585774059 0.865979381443299 peakClustCoef 16 ecoli svmLinear 10
0.903765690376569 0.814432989690722 peakPN 29 ecoli svmLinear 32
0.866108786610879 0.855670103092783 peakDegree 23 ecoli svmLinear 8
0.861924686192469 0.855670103092783 peakStatus 6 ecoli svmLinear 8
0.836820083682008 0.804123711340206 peakPageRank 19 ecoli svmLinear 6
0.866108786610879 0.814432989690722 peakStatus 5 ecoli svmLinear 11
0.707112970711297 0.711340206185567 peakPageRank 16 ecoli svmLinear 2
0.907949790794979 0.855670103092783 peakPN 6 ecoli svmLinear 41
0.866108786610879 0.855670103092783 peakClustCoef 23 ecoli svmLinear 8
0.899581589958159 0.845360824742268 peakPN 5 ecoli svmLinear 33
0.866108786610879 0.876288659793814 peakPageRank 23 ecoli svmLinear 9
0.874476987447699 0.865979381443299 peakDegree 10 ecoli svmLinear 14
0.895397489539749 0.814432989690722 peakStatus 19 ecoli svmLinear 14
0.882845188284519 0.835051546391753 peakDegree 24 ecoli svmLinear 9
0.861924686192469 0.814432989690722 peakDegree 12 ecoli svmLinear 13
0.845188284518828 0.88659793814433 peakStatus 16 ecoli svmLinear 12
0.903765690376569 0.824742268041237 peakPN 19 ecoli svmLinear 43
0.874476987447699 0.865979381443299 peakClustCoef 10 ecoli svmLinear 14
0.882845188284519 0.835051546391753 peakClustCoef 24 ecoli svmLinear 9
0.887029288702929 0.907216494845361 peakPN 16 ecoli svmLinear 34
0.861924686192469 0.814432989690722 peakClustCoef 12 ecoli svmLinear 13
0.815899581589958 0.835051546391753 peakPageRank 10 ecoli svmLinear 3
0.443514644351464 0.443298969072165 peakPageRank 24 ecoli svmLinear 1
0.820083682008368 0.865979381443299 peakStatus 23 ecoli svmLinear 5
0.882845188284519 0.876288659793814 peakDegree 2 ecoli svmLinear 12
0.506276150627615 0.474226804123711 peakPageRank 12 ecoli svmLinear 1
0.882845188284519 0.876288659793814 peakClustCoef 2 ecoli svmLinear 12
0.870292887029289 0.855670103092783 peakStatus 10 ecoli svmLinear 12
0.887029288702929 0.865979381443299 peakPN 23 ecoli svmLinear 40
