train test method run dataset classifier noPoints
0.974947807933194 0.955882352941177 peakDegree 13 breast-cancer-wisconsin rpart 9
0.966597077244259 0.965686274509804 peakDegree 1 breast-cancer-wisconsin rpart 9
0.97286012526096 0.975490196078431 peakDegree 7 breast-cancer-wisconsin rpart 10
0.977035490605428 0.950980392156863 peakDegree 3 breast-cancer-wisconsin knn 5
0.97286012526096 0.950980392156863 peakDegree 2 breast-cancer-wisconsin knn 14
1 0.975490196078431 peakDegree 20 breast-cancer-wisconsin rf 8
0.983298538622129 0.965686274509804 peakDegree 20 breast-cancer-wisconsin rpart 8
1 0.96078431372549 peakDegree 3 breast-cancer-wisconsin svmRadial 5
0.983298538622129 0.950980392156863 peakDegree 18 breast-cancer-wisconsin knn 9
1 0.936274509803922 peakDegree 2 breast-cancer-wisconsin svmRadial 14
0.962421711899791 0.990196078431373 peakDegree 12 breast-cancer-wisconsin knn 9
1 0.950980392156863 peakDegree 3 breast-cancer-wisconsin rf 5
0.979123173277662 0.941176470588235 peakDegree 3 breast-cancer-wisconsin rpart 5
0.962421711899791 0.985294117647059 peakDegree 29 breast-cancer-wisconsin knn 8
0.974947807933194 0.970588235294118 peakDegree 14 breast-cancer-wisconsin knn 10
0.991649269311065 0.946078431372549 peakDegree 18 breast-cancer-wisconsin svmRadial 9
0.966597077244259 0.985294117647059 peakDegree 28 breast-cancer-wisconsin knn 12
0.991649269311065 0.970588235294118 peakDegree 12 breast-cancer-wisconsin svmRadial 9
0.968684759916493 0.975490196078431 peakDegree 8 breast-cancer-wisconsin knn 12
0.966597077244259 0.975490196078431 peakDegree 27 breast-cancer-wisconsin knn 11
0.964509394572025 0.990196078431373 peakDegree 29 breast-cancer-wisconsin svmRadial 8
0.970772442588727 0.975490196078431 peakDegree 10 breast-cancer-wisconsin knn 8
0.995824634655532 0.955882352941177 peakDegree 14 breast-cancer-wisconsin svmRadial 10
0.970772442588727 0.96078431372549 peakDegree 21 breast-cancer-wisconsin knn 14
0.974947807933194 0.970588235294118 peakDegree 4 breast-cancer-wisconsin knn 15
0.979123173277662 0.965686274509804 peakDegree 24 breast-cancer-wisconsin knn 14
1 0.955882352941177 peakDegree 2 breast-cancer-wisconsin rf 14
1 0.955882352941177 peakDegree 28 breast-cancer-wisconsin svmRadial 12
0.997912317327766 0.965686274509804 peakDegree 8 breast-cancer-wisconsin svmRadial 12
0.968684759916493 0.965686274509804 peakDegree 9 breast-cancer-wisconsin knn 7
0.958246346555324 0.985294117647059 peakDegree 15 breast-cancer-wisconsin knn 11
0.966597077244259 0.980392156862745 peakDegree 17 breast-cancer-wisconsin knn 12
0.987473903966597 0.975490196078431 peakDegree 27 breast-cancer-wisconsin svmRadial 11
1 0.96078431372549 peakDegree 4 breast-cancer-wisconsin svmRadial 15
0.981210855949896 0.950980392156863 peakDegree 2 breast-cancer-wisconsin rpart 14
0.981210855949896 0.980392156862745 peakDegree 10 breast-cancer-wisconsin svmRadial 8
0.962421711899791 0.985294117647059 peakDegree 30 breast-cancer-wisconsin knn 11
0.964509394572025 0.980392156862745 peakDegree 19 breast-cancer-wisconsin knn 10
0.974947807933194 0.955882352941177 peakDegree 11 breast-cancer-wisconsin knn 10
0.968684759916493 0.965686274509804 peakDegree 23 breast-cancer-wisconsin knn 6
0.991649269311065 0.950980392156863 peakDegree 24 breast-cancer-wisconsin svmRadial 14
1 0.950980392156863 peakDegree 18 breast-cancer-wisconsin rf 9
0.962421711899791 0.980392156862745 peakDegree 16 breast-cancer-wisconsin knn 5
0.968684759916493 0.965686274509804 peakDegree 6 breast-cancer-wisconsin knn 8
1 0.96078431372549 peakDegree 21 breast-cancer-wisconsin svmRadial 14
1 0.995098039215686 peakDegree 29 breast-cancer-wisconsin rf 8
0.968684759916493 0.975490196078431 peakDegree 22 breast-cancer-wisconsin knn 10
0.983298538622129 0.955882352941177 peakDegree 18 breast-cancer-wisconsin rpart 9
0.987473903966597 0.955882352941177 peakDegree 9 breast-cancer-wisconsin svmRadial 7
1 0.975490196078431 peakDegree 19 breast-cancer-wisconsin svmRadial 10
1 0.965686274509804 peakDegree 14 breast-cancer-wisconsin rf 10
1 0.975490196078431 peakDegree 15 breast-cancer-wisconsin svmRadial 11
0.970772442588727 0.985294117647059 peakDegree 29 breast-cancer-wisconsin rpart 8
1 0.96078431372549 peakDegree 17 breast-cancer-wisconsin svmRadial 12
1 0.955882352941177 peakDegree 30 breast-cancer-wisconsin svmRadial 11
1 0.985294117647059 peakDegree 12 breast-cancer-wisconsin rf 9
0.966597077244259 0.965686274509804 peakDegree 14 breast-cancer-wisconsin rpart 10
0.968684759916493 0.965686274509804 peakDegree 12 breast-cancer-wisconsin rpart 9
0.989561586638831 0.96078431372549 peakDegree 11 breast-cancer-wisconsin svmRadial 10
0.989561586638831 0.975490196078431 peakDegree 16 breast-cancer-wisconsin svmRadial 5
0.966597077244259 0.975490196078431 peakDegree 23 breast-cancer-wisconsin svmRadial 6
1 0.970588235294118 peakDegree 10 breast-cancer-wisconsin rf 8
1 0.970588235294118 peakDegree 6 breast-cancer-wisconsin svmRadial 8
0.983298538622129 0.985294117647059 peakDegree 22 breast-cancer-wisconsin svmRadial 10
0.970772442588727 0.970588235294118 peakDegree 26 breast-cancer-wisconsin knn 8
0.974947807933194 0.970588235294118 peakDegree 10 breast-cancer-wisconsin rpart 8
1 0.970588235294118 peakDegree 9 breast-cancer-wisconsin rf 7
1 0.965686274509804 peakDegree 23 breast-cancer-wisconsin rf 6
1 0.970588235294118 peakDegree 8 breast-cancer-wisconsin rf 12
1 0.970588235294118 peakDegree 24 breast-cancer-wisconsin rf 14
0.97286012526096 0.975490196078431 peakDegree 23 breast-cancer-wisconsin rpart 6
1 0.980392156862745 peakDegree 16 breast-cancer-wisconsin rf 5
0.977035490605428 0.970588235294118 peakDegree 9 breast-cancer-wisconsin rpart 7
1 0.980392156862745 peakDegree 28 breast-cancer-wisconsin rf 12
0.974947807933194 0.975490196078431 peakDegree 24 breast-cancer-wisconsin rpart 14
1 0.975490196078431 peakDegree 27 breast-cancer-wisconsin rf 11
0.977035490605428 0.970588235294118 peakDegree 8 breast-cancer-wisconsin rpart 12
1 0.965686274509804 peakDegree 4 breast-cancer-wisconsin rf 15
1 0.985294117647059 peakDegree 19 breast-cancer-wisconsin rf 10
1 0.96078431372549 peakDegree 21 breast-cancer-wisconsin rf 14
